item_id,tugas,model_a,model_b,cocok,benar_a,benar_b
id-b1-002,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b1-002,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-002,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
id-b1-003,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-003,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-003,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-006,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b1-006,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-006,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
id-b1-007,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-007,pilihan-ganda,glm-5.3,ox-alpha,0,1,0
id-b1-007,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,0
id-b1-008,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b1-008,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-008,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
id-b1-009,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-009,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-009,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-010,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-010,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-010,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-011,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b1-011,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-011,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
id-b1-012,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-012,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-012,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-015,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-015,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-015,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-016,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b1-016,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-016,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
id-b1-017,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b1-017,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-017,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
id-b1-018,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-018,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-018,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-019,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-019,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-019,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-020,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-020,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-020,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-021,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b1-021,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-021,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
id-b1-022,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-022,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-022,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-024,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-024,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-024,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-028,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b1-028,pilihan-ganda,glm-5.3,ox-alpha,0,1,0
id-b1-028,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,1,0
id-b1-029,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b1-029,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-029,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
id-b1-030,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-030,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-030,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-031,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-031,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-031,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-032,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-032,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-032,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-033,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b1-033,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-033,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
id-b1-035,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-035,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-035,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-036,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,0,0
id-b1-036,pilihan-ganda,glm-5.3,ox-alpha,0,0,1
id-b1-036,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-038,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b1-038,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-038,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
id-b1-040,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b1-040,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-040,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
id-b1-042,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-042,pilihan-ganda,glm-5.3,ox-alpha,0,1,0
id-b1-042,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,0,0
id-b1-043,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-043,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-043,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-044,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b1-044,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-044,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
id-b1-046,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b1-046,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-046,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
id-b1-048,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-048,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-048,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-049,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
id-b1-049,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-049,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
id-b1-051,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b1-051,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-051,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
id-b1-052,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b1-052,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b1-052,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
id-b3-003,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b3-003,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b3-003,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
id-b3-004,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b3-004,pilihan-ganda,glm-5.3,ox-alpha,0,1,0
id-b3-004,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,1,0
id-b3-005,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b3-005,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b3-005,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
id-b3-006,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b3-006,pilihan-ganda,glm-5.3,ox-alpha,0,1,0
id-b3-006,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,1,0
id-b3-007,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b3-007,pilihan-ganda,glm-5.3,ox-alpha,0,1,0
id-b3-007,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,1,0
id-b3-008,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
id-b3-008,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
id-b3-008,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
